,date_of_interest,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT,BX_HOSPITALIZED_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT,BK_HOSPITALIZED_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT,MN_HOSPITALIZED_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT,QN_HOSPITALIZED_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT,SI_HOSPITALIZED_COUNT_7DAY_AVG,INCOMPLETE,dayofyear,year,hosp_by_day_ID
578,2021-09-29,61,68,16,13,21,24,8,8,13,18,4,5,0,272,2021,2293
579,2021-09-30,55,63,12,13,17,22,6,7,16,18,5,4,0,273,2021,2294
580,2021-10-01,81,63,17,14,28,21,9,7,31,19,2,4,0,274,2021,2295
581,2021-10-02,58,62,17,14,13,20,6,7,21,19,4,4,0,275,2021,2296
582,2021-10-03,63,64,12,15,27,21,10,8,16,20,2,4,0,276,2021,2297
583,2021-10-04,73,65,15,14,25,21,10,8,20,20,3,4,0,277,2021,2298
584,2021-10-05,67,65,10,14,26,22,13,9,14,19,4,3,0,278,2021,2299
585,2021-10-06,60,65,13,14,10,21,11,9,23,20,7,4,0,279,2021,2300
586,2021-10-07,60,66,15,14,11,20,9,10,18,20,7,4,0,280,2021,2301
587,2021-10-08,42,60,8,13,11,18,11,10,12,18,3,4,0,281,2021,2302
588,2021-10-09,67,62,14,12,24,19,10,11,15,17,4,4,0,282,2021,2303
589,2021-10-10,46,59,11,12,15,17,7,10,7,16,7,5,0,283,2021,2304
590,2021-10-11,51,56,10,12,12,16,10,10,14,15,5,5,0,284,2021,2305
591,2021-10-12,46,53,7,11,11,13,9,10,18,15,4,5,0,285,2021,2306
592,2021-10-13,69,54,14,11,22,15,14,10,15,14,8,5,0,286,2021,2307
593,2021-10-14,46,52,11,11,10,15,7,10,17,14,2,5,0,287,2021,2308
594,2021-10-15,54,54,11,11,11,15,14,10,15,14,3,5,0,288,2021,2309
595,2021-10-16,48,51,10,11,15,14,5,9,13,14,6,5,0,289,2021,2310
596,2021-10-17,46,51,2,9,28,16,7,9,9,14,2,4,0,290,2021,2311
597,2021-10-18,51,51,10,9,17,16,1,8,15,15,9,5,0,291,2021,2312
598,2021-10-19,47,52,12,10,18,17,6,8,9,13,3,5,0,292,2021,2313
599,2021-10-20,51,49,9,9,18,17,10,7,8,12,6,4,0,293,2021,2314
600,2021-10-21,44,49,7,9,14,17,3,7,15,12,6,5,0,294,2021,2315
601,2021-10-22,41,47,11,9,17,18,3,5,8,11,4,5,0,295,2021,2316
602,2021-10-23,42,46,7,8,17,18,6,5,7,10,7,5,0,296,2021,2317
603,2021-10-24,40,45,8,9,12,16,7,5,8,10,5,6,0,297,2021,2318
604,2021-10-25,35,43,5,8,14,16,4,6,10,9,2,5,0,298,2021,2319
605,2021-10-26,36,41,4,7,17,16,4,5,8,9,3,5,0,299,2021,2320
606,2021-10-27,38,39,7,7,15,15,6,5,9,9,1,4,0,300,2021,2321
607,2021-10-28,33,38,9,7,10,15,9,6,4,8,1,3,0,301,2021,2322
608,2021-10-29,28,36,6,7,8,13,7,6,5,7,3,3,0,302,2021,2323
609,2021-10-30,23,33,6,6,9,12,1,5,4,7,3,3,0,303,2021,2324
610,2021-10-31,27,31,5,6,7,11,5,5,8,7,3,2,0,304,2021,2325
611,2021-11-01,33,31,5,6,10,11,4,5,11,7,4,3,0,305,2021,2326
612,2021-11-02,40,32,10,7,13,10,4,5,8,7,5,3,0,306,2021,2327
613,2021-11-03,42,32,10,7,18,11,4,5,8,7,3,3,0,307,2021,2328
614,2021-11-04,36,33,6,7,14,11,4,4,9,8,3,3,0,308,2021,2329
615,2021-11-05,28,33,10,7,9,11,4,4,4,7,4,4,0,309,2021,2330
616,2021-11-06,29,34,9,8,12,12,2,4,4,7,3,4,0,310,2021,2331
617,2021-11-07,32,34,3,8,13,13,3,4,10,8,5,4,11000,311,2021,2332
618,2021-11-08,43,36,14,9,14,13,3,3,6,7,6,4,11000,312,2021,2333
619,2021-11-09,23,33,3,8,4,12,4,3,7,7,6,4,11000,313,2021,2334
620,2021-11-10,31,32,8,8,12,11,2,3,7,7,3,4,11000,314,2021,2335
621,2021-11-11,33,31,9,8,12,11,2,3,8,7,2,4,11000,315,2021,2336
622,2021-11-12,16,30,2,7,4,10,2,3,8,7,0,4,11000,316,2021,2337
623,2021-11-13,1,26,0,6,1,9,0,2,0,7,0,3,11000,317,2021,2338
